hebrew,transliteration,root,pos,gender,verb_group,pattern,number,other_descriptors,translation,pos_raw,entry_url,page
לְהִתְאַבֵּל,lehit'abel,א - ב - ל,Verb,,hitpa'el,,,,"to mourn, to grieve (על)",Verb – hitpa'el,https://www.pealim.com/dict/62-lehitabel/,3
לְהִתְאַבֵּן,lehit'aben,א - ב - ן,Verb,,hitpa'el,,,,to turn into stone,Verb – hitpa'el,https://www.pealim.com/dict/63-lehitaben/,3
אֶבֶן,even,א - ב - ן,Noun,feminine,,ketel,,,stone,"Noun – ketel pattern, feminine",https://www.pealim.com/dict/6055-even/,3
מְאוּבָּן,me'uban,א - ב - ן,Noun,masculine,,mekuttal,,,fossil,"Noun – mekuttal pattern, masculine",https://www.pealim.com/dict/8449-meuban/,3
לְאַבֵּן,le'aben,א - ב - ן,Verb,,pi'el,,,,"to petrify, to turn to stone; to immobilize, to stun",Verb – pi'el,https://www.pealim.com/dict/7606-leaben/,3
לְהַאֲבִיס,leha'avis,א - ב - ס,Verb,,hif'il,,,,to feed (livestock),Verb – hif'il,https://www.pealim.com/dict/5476-lehaavis/,3
הַאֲבָסָה,ha'avasa,א - ב - ס,Noun,feminine,,haktala,,,feeding (animals),"Noun – haktala pattern, feminine",https://www.pealim.com/dict/8217-haavasa/,3
לְהֵיאָבֵק,lehe'avek,א - ב - ק,Verb,,nif'al,,,,"to struggle, to wrestle",Verb – nif'al,https://www.pealim.com/dict/64-leheavek/,3
אִיבּוּק,ibuk,א - ב - ק,Noun,masculine,,kittul,,,֔powdering; dusting,"Noun – kittul pattern, masculine",https://www.pealim.com/dict/4738-ibuk/,3
מַאֲבָק,ma'avak,א - ב - ק,Noun,masculine,,miktal,,,"strife, struggle, fight","Noun – miktal pattern, masculine",https://www.pealim.com/dict/5458-maavak/,3
אָבָק,avak,א - ב - ק,Noun,masculine,,katal,,,"dust, powder","Noun – katal pattern, masculine",https://www.pealim.com/dict/3328-avak/,3
לְהִתְאַבֵּק,lehit'abek,א - ב - ק,Verb,,hitpa'el,,,,"to wrestle, to struggle",Verb – hitpa'el,https://www.pealim.com/dict/3681-lehitabek/,3
לְהִתְאַבֵּק,lehit'abek,א - ב - ק,Verb,,hitpa'el,,,,to become dusty,Verb – hitpa'el,https://www.pealim.com/dict/3682-lehitabek/,3
מְאוּבָּק,me'ubak,א - ב - ק,Adjective,,,mekuttal,,,dusty,Adjective – mekuttal pattern,https://www.pealim.com/dict/3683-meubak/,4
לְאַבֵּק,le'abek,א - ב - ק,Verb,,pi'el,,,,"to powder, to grind to dust",Verb – pi'el,https://www.pealim.com/dict/3046-leabek/,4
לְהַאֲבִיק,leha'avik,א - ב - ק,Verb,,hif'il,,,,to pollinate,Verb – hif'il,https://www.pealim.com/dict/5722-lehaavik/,4
אַבִּיר,abir,א - ב - ר,Noun,masculine,,kattil,,,knight; nobleman,"Noun – kattil pattern, masculine",https://www.pealim.com/dict/5585-abir/,4
אֶבְרָה,evra,א - ב - ר,Noun,feminine,,kitla,,,"pinion, wing (lit.)","Noun – kitla pattern, feminine",https://www.pealim.com/dict/7997-evra/,4
אַגַּב,agav,-,Adverb,,,,,,"by the way, incidentally; while, during",Adverb,https://www.pealim.com/dict/7628-agav/,4
אִיגּוּד,igud,א - ג - ד,Noun,masculine,,kittul,,,"union, organisation","Noun – kittul pattern, masculine",https://www.pealim.com/dict/4739-igud/,4
הִתְאַגְּדוּת,hit'agdut,א - ג - ד,Noun,feminine,,hitkattlut,,,"union, corporation","Noun – hitkattlut pattern, feminine",https://www.pealim.com/dict/4182-hitagdut/,4
לֶאֱגוֹד,le'egod,א - ג - ד,Verb,,pa'al,,,,"to bind together, to tie up (lit.); to unite",Verb – pa'al,https://www.pealim.com/dict/4172-leegod/,4
אוּגְדָּה,ugda,א - ג - ד,Noun,feminine,,kutla,,,division (army),"Noun – kutla pattern, feminine",https://www.pealim.com/dict/4181-ugda/,4
אֲגוּדָּה,aguda,א - ג - ד,Noun,feminine,,ktulla,,,"union, association","Noun – ktulla pattern, feminine",https://www.pealim.com/dict/4179-aguda/,4
לְהִתְאַגֵּד,lehit'aged,א - ג - ד,Verb,,hitpa'el,,,,"to unite, to form a union",Verb – hitpa'el,https://www.pealim.com/dict/4175-lehitaged/,4
אֶגֶד,eged,א - ג - ד,Noun,masculine,,ketel,,,"bundle, bunch (lit.); bandage","Noun – ketel pattern, masculine",https://www.pealim.com/dict/4176-eged/,4
אֲגִידָה,agida,א - ג - ד,Noun,feminine,,ktila,,,"binding, bundling (dated)","Noun – ktila pattern, feminine",https://www.pealim.com/dict/4180-agida/,4
אוֹגֵד,oged,א - ג - ד,Noun,masculine,,kotel,,,copula (grammar),"Noun – kotel pattern, masculine",https://www.pealim.com/dict/7687-oged/,4
מוֹאֳגָד,mo'ogad,א - ג - ד,Adjective,,,muktal,,,incorporated,Adjective – muktal pattern,https://www.pealim.com/dict/8505-moogad/,5
לְאַגֵּד,le'aged,א - ג - ד,Verb,,pi'el,,,,"to unite, to join together",Verb – pi'el,https://www.pealim.com/dict/4173-leaged/,5
לְהֵיאָגֵד,lehe'aged,א - ג - ד,Verb,,nif'al,,,,"to be bound together, united",Verb – nif'al,https://www.pealim.com/dict/4174-leheaged/,5
תַּאֲגִיד,ta'agid,א - ג - ד,Noun,masculine,,taktil,,,corporation,"Noun – taktil pattern, masculine",https://www.pealim.com/dict/6806-taagid/,5
אֱגוֹז,egoz,-,Noun,masculine,,,,,nut (food),Noun – masculine,https://www.pealim.com/dict/5376-egoz/,5
אֲגַם,agam,א - ג - ם,Noun,masculine,,ktal,,,lake,"Noun – ktal pattern, masculine",https://www.pealim.com/dict/5556-agam/,5
אַגָּן,agan,-,Noun,,,,,,"basin (geography); bowl, basin; pelvis",Noun,https://www.pealim.com/dict/8151-agan/,5
אַגָּס,agas,-,Noun,masculine,,,,,pear; pear tree,Noun – masculine,https://www.pealim.com/dict/7557-agas/,5
אִיגּוּף,iguf,א - ג - ף,Noun,masculine,,kittul,,,"outflanking, flanking","Noun – kittul pattern, masculine",https://www.pealim.com/dict/4740-iguf/,5
לֶאֱגוֹף,le'egof,א - ג - ף,Verb,,pa'al,,,,to outflank,Verb – pa'al,https://www.pealim.com/dict/3889-leegof/,5
אֲגַף,agaf,א - ג - ף,Noun,masculine,,ktal,,,"branch, department; flank","Noun – ktal pattern, masculine",https://www.pealim.com/dict/3891-agaf/,5
לְאַגֵּף,le'agef,א - ג - ף,Verb,,pi'el,,,,to outflank,Verb – pi'el,https://www.pealim.com/dict/3890-leagef/,5
אִיגֶּרֶת,igeret,א - ג - ר,Noun,feminine,,kittelet,,,"note, message","Noun – kittelet pattern, feminine",https://www.pealim.com/dict/4537-igeret/,5
אֶגְרוֹן,egron,א - ג - ר,Noun,masculine,,kitlon,,,"thesaurus, dictionary (dated)","Noun – kitlon pattern, masculine",https://www.pealim.com/dict/6049-egron/,5
מַאֲגָר,ma'agar,א - ג - ר,Noun,masculine,,miktal,,,"reserve, stockpile; reservoir","Noun – miktal pattern, masculine",https://www.pealim.com/dict/5356-maagar/,5
לֶאֱגוֹר,le'egor,א - ג - ר,Verb,,pa'al,,,,"to stockpile, to store",Verb – pa'al,https://www.pealim.com/dict/65-leegor/,6
לְהֵיאָגֵר,lehe'ager,א - ג - ר,Verb,,nif'al,,,,"to be collected, to accumulate",Verb – nif'al,https://www.pealim.com/dict/8251-leheager/,6
אַגְרָה,agra,א - ג - ר,Noun,feminine,,katla,,,"fee, toll","Noun – katla pattern, feminine",https://www.pealim.com/dict/8337-agra/,6
אֲגַרְטָל,agartal,-,Noun,masculine,,,,,🏺 vase,Noun – masculine,https://www.pealim.com/dict/7452-agartal/,6
לְהִתְאַגְרֵף,lehit'agref,א - ג - ר - ף,Verb,,hitpa'el,,,,to box (to fight),Verb – hitpa'el,https://www.pealim.com/dict/66-lehitagref/,6
אִגְרוּף,igruf,א - ג - ר - ף,Noun,masculine,,kittul,,,boxing; making a fist,"Noun – kittul pattern, masculine",https://www.pealim.com/dict/8665-igruf/,6
אָדִיב,adiv,א - ד - ב,Adjective,,,katil,,,"polite, courteous, obliging",Adjective – katil pattern,https://www.pealim.com/dict/6470-adiv/,6
אַדְווָה,adva,-,Noun,feminine,,,,,"ripple, wavelet",Noun – feminine,https://www.pealim.com/dict/8937-adva/,6
אָדוֹן,adon,-,Noun,masculine,,,,,"mister, Mr.; master, lord",Noun – masculine,https://www.pealim.com/dict/6879-adon/,6
לְהִתְאַדּוֹת,lehit'adot,א - ד - ה,Verb,,hitpa'el,,,,to evaporate; to disappear,Verb – hitpa'el,https://www.pealim.com/dict/2571-lehitadot/,6
אֵד,ed,א - ד - ה,Noun,masculine,,,,,"vapour, steam (usually in pl.)",Noun – masculine,https://www.pealim.com/dict/5466-ed/,6
אִידּוּי,iduy,א - ד - ה,Noun,masculine,,kittul,,,vaporization; simmering,"Noun – kittul pattern, masculine",https://www.pealim.com/dict/5470-iduy/,6
הִתְאַדּוּת,hit'adut,א - ד - ה,Noun,feminine,,hitkattlut,,,evaporation,"Noun – hitkattlut pattern, feminine",https://www.pealim.com/dict/5469-hitadut/,6
לְאַדּוֹת,le'adot,א - ד - ה,Verb,,pi'el,,,,"to vaporize, to evaporate; to simmer, to poach",Verb – pi'el,https://www.pealim.com/dict/5467-leadot/,6
מַאֲדִים,ma'adim,א - ד - ם,Noun,masculine,,maktil,,,Mars (the planet),"Noun – maktil pattern, masculine",https://www.pealim.com/dict/4059-maadim/,6
אוֹדֶם,odem,א - ד - ם,Noun,masculine,,kotel,,,ruby (gem),"Noun – kotel pattern, masculine",https://www.pealim.com/dict/6901-odem/,7
אֲדַמְדַּם,adamdam,א - ד - ם,Adjective,,,ktaltal,,,reddish,Adjective – ktaltal pattern,https://www.pealim.com/dict/3488-adamdam/,7
אַדֶּמֶת,ademet,א - ד - ם,Noun,feminine,,kattelet,,,"rubella, German measles","Noun – kattelet pattern, feminine",https://www.pealim.com/dict/3284-ademet/,7
אָדָם,adam,א - ד - ם,Noun,masculine,,katal,,,"man, person, human being (also בֶּן אָדָם, plural: בְּנֵי אָדָם)","Noun – katal pattern, masculine",https://www.pealim.com/dict/3553-adam/,7
אָדוֹם,adom,א - ד - ם,Adjective,,,katol,,,red,Adjective – katol pattern,https://www.pealim.com/dict/3487-adom/,7
אֲדָמָה,adama,א - ד - ם,Noun,feminine,,ktala,,,"earth, soil, ground; land","Noun – ktala pattern, feminine",https://www.pealim.com/dict/3552-adama/,7
לְהַאֲדִים,leha'adim,א - ד - ם,Verb,,hif'il,,,,"to become red, to redden, to blush",Verb – hif'il,https://www.pealim.com/dict/4567-lehaadim/,7
אוֹדֶם,odem,א - ד - ם,Noun,masculine,,kotel,,,"red, red colour; 💄 lipstick (coll.)","Noun – kotel pattern, masculine",https://www.pealim.com/dict/6902-odem/,7
אֲדִיקוּת,adikut,א - ד - ק,Noun,feminine,,,,,"devotion, fervour, piety",Noun – feminine,https://www.pealim.com/dict/7345-adikut/,7
אָדוּק,aduk,א - ד - ק,Adjective,,,katul,,,"devout, fervent, fanatical, religious",Adjective – katul pattern,https://www.pealim.com/dict/7344-aduk/,7
נֶאְדָּר,ne'edar,א - ד - ר,Adjective,,,niktal,,,"great, exalted, splendid, magnificient",Adjective – niktal pattern,https://www.pealim.com/dict/3313-needar/,7
אַדִּיר,adir,א - ד - ר,Adjective,,,kattil,,,"great, mighty, powerful",Adjective – kattil pattern,https://www.pealim.com/dict/3314-adir/,7
אַדְרִיכָל,adrichal,-,Noun,,,,,,architect,Noun,https://www.pealim.com/dict/6975-adrichal/,7
אָדִישׁ,adish,א - ד - שׁ,Adjective,,,katil,,,"apathetic, indifferent; inert (chemistry)",Adjective – katil pattern,https://www.pealim.com/dict/6868-adish/,7
לֶאֱהוֹב,le'ehov,א - ה - ב,Verb,,pa'al,,,,to love,Verb – pa'al,https://www.pealim.com/dict/67-leehov/,7
לְהִתְאַהֵב,lehit'ahev,א - ה - ב,Verb,,hitpa'el,,,,to fall in love (with) (ב-),Verb – hitpa'el,https://www.pealim.com/dict/68-lehitahev/,8
הִתְאַהֲבוּת,hit'ahavut,א - ה - ב,Noun,feminine,,hitkattlut,,,"infatuation, falling in love, crush","Noun – hitkattlut pattern, feminine",https://www.pealim.com/dict/8346-hitahavut/,8
אַהֲבָה,ahava,א - ה - ב,Noun,feminine,,katla,,,love,"Noun – katla pattern, feminine",https://www.pealim.com/dict/3131-ahava/,8
אָהוּב,ahuv,א - ה - ב,Adjective,,,katul,,,"beloved, loved",Adjective – katul pattern,https://www.pealim.com/dict/6045-ahuv/,8
מְאוֹהָב,me'ohav,א - ה - ב,Adjective,,,mekuttal,,,in love with (ב־),Adjective – mekuttal pattern,https://www.pealim.com/dict/4595-meohav/,8
לְהֵיאָהֵב,lehe'ahev,א - ה - ב,Verb,,nif'al,,,,to be loved,Verb – nif'al,https://www.pealim.com/dict/5477-leheahev/,8
אַהְבַּל,ahbal,-,Noun,,,,,,"fool, idiot (slang)",Noun,https://www.pealim.com/dict/7554-ahbal/,8
אוֹהֵד,ohed,א - ה - ד,Noun,masculine,,kotel,,,"fan (sports), supporter","Noun – kotel pattern, masculine",https://www.pealim.com/dict/3524-ohed/,8
לֶאֱהוֹד,le'ehod,א - ה - ד,Verb,,pa'al,,,,"to sympathise (את), to support a sports team",Verb – pa'al,https://www.pealim.com/dict/69-leehod/,8
לֶאֱהוֹהַּ,le'ehoa(h),א - ה - הּ,Verb,,pa'al,,,,"to wail, to howl (rare)",Verb – pa'al,https://www.pealim.com/dict/5028-leehoah/,8
אוֹהֶל,ohel,א - ה - ל,Noun,masculine,,kotel,,,tent,"Noun – kotel pattern, masculine",https://www.pealim.com/dict/5441-ohel/,8
אוֹ,o,-,Conjunction,,,,,,or,Conjunction,https://www.pealim.com/dict/5231-o/,8
אוֹבְדָן,ovdan,-,Noun,,,,,,"loss, ruin",Noun,https://www.pealim.com/dict/7050-ovdan/,8
אוֹבְדָנִי,ovdani,-,Adjective,,,,,,suicidal,Adjective,https://www.pealim.com/dict/7051-ovdani/,8
אוֹבְּסֶסִיבִי,obsesivi,-,Adjective,,,,,,obsessive,Adjective,https://www.pealim.com/dict/7737-obsesivi/,8
אוֹדוֹת,odot,-,Preposition,,,,,,"about, with regard to, concerning",Preposition,https://www.pealim.com/dict/6416-odot/,9
אֲווָז,avaz,-,Noun,masculine,,,,,goose,Noun – masculine,https://www.pealim.com/dict/7626-avaz/,9
אֲווִיר,avir,-,Noun,masculine,,,,,air,Noun – masculine,https://www.pealim.com/dict/5942-avir/,9
אֲווִירוֹן,aviron,-,Noun,masculine,,,,,"airplane, aircraft",Noun – masculine,https://www.pealim.com/dict/8778-aviron/,9
לְהָאִיט,leha'it,א - ו - ט,Verb,,hif'il,,,,to slow down,Verb – hif'il,https://www.pealim.com/dict/4972-lehait/,9
אוֹטוֹ,oto,-,Noun,masculine,,,,,🚗 automobile (coll.),Noun – masculine,https://www.pealim.com/dict/9107-oto/,9
אוֹטוֹבּוּס,otobus,-,Noun,masculine,,,,,"🚌 bus, coach",Noun – masculine,https://www.pealim.com/dict/6854-otobus/,9
תַּאֲווָה,ta'ava,א - ו - ה,Noun,feminine,,taktela,,,"lust, desire, passion","Noun – taktela pattern, feminine",https://www.pealim.com/dict/5275-taava/,9
לְאַוּוֹת,le'avot,א - ו - ה,Verb,,pi'el,,,,"to desire, to want (archaic)",Verb – pi'el,https://www.pealim.com/dict/4052-leavot/,9
אוֹי,oy,-,Interjection,,,,,,"oh, ah, oh my, ouch, alas",Interjection,https://www.pealim.com/dict/7989-oy/,9
לְהִתְאַוּוֹת,lehit'avot,א - ו - ה,Verb,,hitpa'el,,,,"to crave, to yearn for, to lust (lit.) (ל-)",Verb – hitpa'el,https://www.pealim.com/dict/5274-lehitavot/,9
אוּכְלוּסִיָּה,uchlusiya,-,Noun,feminine,,,,,population,Noun – feminine,https://www.pealim.com/dict/6124-uchlusiya/,9
אוּכְמָנִית,uchmanit,-,Noun,feminine,,,,,blueberry,Noun – feminine,https://www.pealim.com/dict/9134-uchmanit/,9
אֱווִיל,evil,א - ו - ל,Noun,,,,,,"fool, stupid person (lit.)",Noun,https://www.pealim.com/dict/7276-evil/,9
אִיווֶּלֶת,ivelet,א - ו - ל,Noun,feminine,,kittelet,,,"stupidity, foolishness","Noun – kittelet pattern, feminine",https://www.pealim.com/dict/7805-ivelet/,9
אוּלַי,ulay,-,Adverb,,,,,,"maybe, perhaps",Adverb,https://www.pealim.com/dict/4636-ulay/,10
אוּלָם,ulam,-,Adverb,,,,,,"however, but, nevertheless",Adverb,https://www.pealim.com/dict/7488-ulam/,10
אוּלָם,ulam,-,Noun,masculine,,,,,"hall, vestibule",Noun – masculine,https://www.pealim.com/dict/7489-ulam/,10
אוּלְפָּן,ulpan,-,Noun,masculine,,,,,"studio (recording, TV, radio); ulpan, intensive Hebrew school",Noun – masculine,https://www.pealim.com/dict/6690-ulpan/,10
אוֹלָר,olar,-,Noun,,,,,,pocket knife,Noun,https://www.pealim.com/dict/9236-olar/,10
אוֹמָּנוּת לְחִימָה,omanut lechima,-,Noun,,,,,,martial art,Noun,https://www.pealim.com/dict/7985-omanut-lechima/,10
אוֹן,on,-,Noun,masculine,,,,,"power, strength, vitality (lit.)",Noun – masculine,https://www.pealim.com/dict/8562-on/,10
אוּנִיבֶרְסִיטָה,universita,-,Noun,feminine,,,,,university,Noun – feminine,https://www.pealim.com/dict/4890-universita/,10
אוֹנִייָּה,oniya,-,Noun,feminine,,,,,"ship, boat, vessel",Noun – feminine,https://www.pealim.com/dict/5606-oniya/,10
אוֹפַנּוֹעַ,ofanoa,-,Noun,masculine,,,,,"🏍️ motorbike, motorcycle",Noun – masculine,https://www.pealim.com/dict/6371-ofanoa/,10
לָאוּץ,la'utz,א - ו - ץ,Verb,,pa'al,,,,"to make haste, to hurry",Verb – pa'al,https://www.pealim.com/dict/70-lautz/,10
לְהָאִיץ,leha'itz,א - ו - ץ,Verb,,hif'il,,,,"to urge, to speed up",Verb – hif'il,https://www.pealim.com/dict/71-lehaitz/,10
תְּאוּצָה,te'utza,א - ו - ץ,Noun,feminine,,tkula,,,acceleration,"Noun – tkula pattern, feminine",https://www.pealim.com/dict/8561-teutza/,10
הֶאָצָה,he'atza,א - ו - ץ,Noun,,,,,,"acceleration, speeding up; urging, encouraging",Noun,https://www.pealim.com/dict/9190-heatza/,10
אָצָן,atzan,א - ו - ץ,Noun,masculine,,,,,sprinter (sports),Noun – masculine,https://www.pealim.com/dict/8992-atzan/,10
אוֹצַר מִילִּים,otzar milim,-,Noun,,,,,,vocabulary,Noun,https://www.pealim.com/dict/7198-otzar-milim/,11
אוֹקְייָנוֹס,okyanos,-,Noun,,,,,,ocean,Noun,https://www.pealim.com/dict/7667-okyanos/,11
לְהָאִיר,leha'ir,א - ו - ר,Verb,,hif'il,,,,"to illuminate, to shine",Verb – hif'il,https://www.pealim.com/dict/72-lehair/,11
אוֹר,or,א - ו - ר,Noun,masculine,,,,,light,Noun – masculine,https://www.pealim.com/dict/5232-or/,11
מוּאָר,mu'ar,א - ו - ר,Adjective,,,muktal,,,"illuminated, lighted",Adjective – muktal pattern,https://www.pealim.com/dict/9147-muar/,11
תְּאוּרָה,te'ura,א - ו - ר,Noun,feminine,,tkula,,,"lighting, illumination","Noun – tkula pattern, feminine",https://www.pealim.com/dict/3736-teura/,11
מְאוּרָה,me'ura,א - ו - ר,Noun,feminine,,mekula,,,"den, lair, hole","Noun – mekula pattern, feminine",https://www.pealim.com/dict/3886-meura/,11
מָאוֹר,ma'or,א - ו - ר,Noun,masculine,,miktal,,,"celestial body, star (biblical); lighting; brightness, glow","Noun – miktal pattern, masculine",https://www.pealim.com/dict/4040-maor/,11
אוּר,ur,א - ו - ר,Noun,masculine,,,,,"flame, light (rare)",Noun – masculine,https://www.pealim.com/dict/9273-ur/,11
אוֹרְייָנ,oryan,-,Adverb,,,,,,knowledge (aramaic) (rare),Adverb,https://www.pealim.com/dict/8487-oryan/,11
אוֹרְייָנוּת,oryanut,-,Noun,,,,,,"literacy, language skills; erudition",Noun,https://www.pealim.com/dict/8488-oryanut/,11
אוֹרְייָנִי,oryani,-,Adjective,,,,,,"literate, erudite, lettered",Adjective,https://www.pealim.com/dict/8489-oryani/,11
לְאַווְרֵר,le'avrer,א - ו - ר - ר,Verb,,pi'el,,,,"to ventilate, to aerate",Verb – pi'el,https://www.pealim.com/dict/73-leavrer/,11
לְהִתְאַווְרֵר,lehit'avrer,א - ו - ר - ר,Verb,,hitpa'el,,,,"to be ventilated, to take a fresh air",Verb – hitpa'el,https://www.pealim.com/dict/74-lehitavrer/,11
אִיווְרוּר,ivrur,א - ו - ר - ר,Noun,masculine,,kittul,,,"ventilation, airing","Noun – kittul pattern, masculine",https://www.pealim.com/dict/4741-ivrur/,11
מְאַווְרֵר,me'avrer,א - ו - ר - ר,Noun,masculine,,mekattel,,,"ventilator, fan","Noun – mekattel pattern, masculine",https://www.pealim.com/dict/6431-meavrer/,12
לְאַווְשֵׁשׁ,le'avshesh,א - ו - שׁ - שׁ,Verb,,pi'el,,,,"to rustle, to murmur (lit.)",Verb – pi'el,https://www.pealim.com/dict/6111-leavshesh/,12
אִיווְשׁוּשׁ,ivshush,א - ו - שׁ - שׁ,Noun,masculine,,kittul,,,"rustle, murmur (lit.)","Noun – kittul pattern, masculine",https://www.pealim.com/dict/6112-ivshush/,12
לְהֵיאוֹת,lehe'ot,א - ו - ת,Verb,,nif'al,,,,"to agree, to consent, to be proper",Verb – nif'al,https://www.pealim.com/dict/75-leheot/,12
לְאוֹתֵת,le'otet,א - ו - ת,Verb,,pi'el,,,,"to signal, to beacon",Verb – pi'el,https://www.pealim.com/dict/76-leotet/,12
אוֹת,ot,א - ו - ת,Noun,feminine,,,,,letter (of an alphabet),Noun – feminine,https://www.pealim.com/dict/5596-ot/,12
אוֹת,ot,א - ו - ת,Noun,masculine,,,,,"signal, sign; badge, medal; omen, indication",Noun – masculine,https://www.pealim.com/dict/5595-ot/,12
אָז,az,-,Conjunction,,,,,,then; in that case; so,Conjunction,https://www.pealim.com/dict/5316-az/,12
לְאַזְכֵּר,le'azker,א - ז - כ - ר,Verb,,pi'el,,,,"to mention, to cite, to make reference to",Verb – pi'el,https://www.pealim.com/dict/5731-leazker/,12
אִיזְכּוּר,izkur,א - ז - כ - ר,Noun,masculine,,kittul,,,"reference, mention, quotation, citation","Noun – kittul pattern, masculine",https://www.pealim.com/dict/7262-izkur/,12
לֶאֱזוֹל,le'ezol,א - ז - ל,Verb,,pa'al,,,,"to run out, to cease, to be exhausted",Verb – pa'al,https://www.pealim.com/dict/77-leezol/,12
