dialect,english,arabic gt,arabic predicted,arabic gt transliteration,arabic predicted transliteration
Palestinian,I can make a tasty dressing for the salad using yogurt and herbs.,بقدر أعمل صلصة طيبة للسلطة باستخدام الروب والأعشاب.,بقدر أعمل تتبيلة زاكية للسلطة باللبن والأعشاب.,ba'dar a'mal salsa tayybeh lal-salata b-istikhdam ir-rob wil-a'shab.,ba'dar a'mal tatbeeleh zakyeh lal-salata bil-laban wil-a'shab.
Palestinian,"This boy doesn't stop sniffling, we need to take him to the doctor.",هادا الولد ما ببطل ينشق، لازم نوخده عالدكتور.,هادا الولد ما ببطل ينشق، لازم نوخده عالدكتور.,"haada el-walad ma bibattal yinsha', laazem nookhdo 3ad-doktoor.","haada el-walad ma bibattal yinsha', laazem nookhdo 3ad-doktoor."
Palestinian,"I will take seats in business class, right?",رح أخد كراسي بدرجة رجال الأعمال، صح؟,رح أخد كراسي بدرجة رجال الأعمال، صح؟,"rah akhod karasi b-darajet rijal el-a'mal, sah?","rah akhod karasi b-darajet rijal el-a'mal, sah?"
Palestinian,Is there a restaurant you recommend near here?,في مطعم بتنصح فيه قريب من هون؟,في مطعم بتنصح فيه قريب من هون؟,fi mat'am btinsaH fiih ariib min hoon?,fi mat'am btinsaH fiih ariib min hoon?
Palestinian,Congratulations on the new job! It will be an excellent position for you.,مبروك على الوظيفة الجديدة! رح تكون شغلة ممتازة إلك.,مبروك على الوظيفة الجديدة! رح تكون وظيفة ممتازة إلك.,Mabrouk 3ala el-wazife el-jdide! Rah tkun shaghle mumtaze elak.,Mabrouk 3ala el-wazife el-jdide! Rah tkun wazife mumtaze elak.
Palestinian,"I wish I could go back to the day I decided to leave university, I want to change my decision.",يا ريت بقدر أرجع ع يومها اللي قررت فيه أترك الجامعة، بدي أغير قراري.,يا ريت أقدر أرجع لليوم اللي قررت فيه أترك الجامعة، بدي أغير قراري.,"ya reet ba'dar arja' a yomha illi qarart feeh atruk el-jam'a, biddi aghayyer qarari.","ya reet a'dar arja' lal-yom illi qarart feeh atruk el-jam'a, biddi aghayyer qarari."
Palestinian,"As he grew older, my father began to remember more memories from his childhood.",على كبر، صار أبوي يتذكر أكتر الذكريات من طفولته.,لما كبر، صار أبوي يتذكر ذكريات أكتر من طفولته.,"ala kibar, sar abuy yitdhakkar aktar iz-zikrayat min tufulto.","lamma kibar, sar abuy yitdhakkar zikrayat aktar min tufulto."
Palestinian,Do you want to bet with me that our team will win this game?,بدك تتراهن معي إنه فريقنا رح يفوز بالمباراة هاي؟,بدك تتراهن معي إنه فريقنا رح يفوز بالمباراة هاي؟,biddak titraahan ma'i innu fareeqna rah yfooz bil-mubarah haay?,biddak titraahan ma'i innu fareeqna rah yfooz bil-mubarah haay?
Palestinian,I went to the print shop to print my wedding invitations.,رحت على المطبعة عشان أطبع كرتات الدعوة تبع عرسي.,رحت على المطبعة عشان أطبع كرتات الدعوة تبع عرسي.,Ruht 3ala el-matba3a 3ashan atba3 kartat ed-da3we taba3 3irsi.,Ruht 3ala el-matba3a 3ashan atba3 kartat ed-da3we taba3 3irsi.
Palestinian,I always have nightmares at night.,‏دايما عندي كوابيس بالليل ‎,دايماً عندي كوابيس بالليل,dayman 3indi kawabis bil-leil,dayman 3indi kawabis bil-leil
Palestinian,"I can work in this factory, but I need to learn some new skills.",بقدر أشتغل في المصنع هادا بس لازم أتعلم شوية مهارات جديدة.,بقدر أشتغل بهالمصنع، بس لازم أتعلم شوية مهارات جديدة.,ba'dar ashtaghel fi el-masna' hada bas lazim at'allam shwayyet maharat jdeede.,"ba'dar ashtaghel bhal-masna', bas lazim at'allam shwayyet maharat jdeede."
Palestinian,I heard that the new employee complained about us to the management because we didn't welcome him nicely.,سمعت إنه الموظف الجديد شكى علينا للإدارة عشان ما استقبلناه منيح.,سمعت إنه الموظف الجديد شكى علينا للإدارة عشان ما استقبلناه منيح.,sme3et enno el-mwazzaf el-jdid shaka 3alena lel-idara 3ashan ma ista2balnah mnih.,sme3et enno el-mwazzaf el-jdid shaka 3alena lel-idara 3ashan ma ista2balnah mnih.
Palestinian,"Every time I see an accident on the road, I remember how important it is to be cautious while driving.",كل ما بشوف حادث عالطريق، بتذكر قديش لازم نكون حذرين وقت السياقة.,كل ما بشوف حادث عالطريق، بتذكر قديش مهم نكون حذرين وإحنا بنسوق.,"kull ma bshuf hades 3a-t-tariq, batdhakkar addesh lazim nkun hadhreen wa2t is-syaqa.","kull ma bshuf hades 3a-t-tariq, batdhakkar addesh mhem nkun hadhreen w ihna binsu2."
Palestinian,"Yesterday, I saw three bats hanging from the tree; I was very scared, but they were beautiful.",إمبارح شفت تلتة وطوط معلقين عالشجرة، خفت كتير بس كانوا حلوين.,إمبارح شفت تلات وطاويط معلقين عالشجرة؛ خفت كتير، بس كانوا حلوين.,"Imbareh shuft talate watwat m3alla2in 3ash-shajara, khift ktir bas kanu hilwin.","Imbareh shuft talat watawit m3alla2in 3ash-shajara; khift ktir, bas kanu hilwin."
Palestinian,I see that you are hesitant in making the decision. What is the reason? Can I help you?,بشوفك متردد في اتخاذ القرار. شو السبب؟ بقدر أساعدك؟,بشوفك متردد باتخاذ القرار. شو السبب؟ بقدر أساعدك؟,bshofak mitradded fi ittikhad il-qarar. shu is-sabab? ba'dar asa'edak?,bshofak mitradded bi-ittikhad il-qarar. shu is-sabab? ba'dar asa'edak?
Palestinian,She needs to buy new tights because they tore while she was supporting her family.,بدها تشتري كولون جديد لأنه تمزع لما كانت تعيش عيلتها.,بدها تشتري كولون جديد لأنه تمزّع لما كانت بتعيّش عيلتها.,biddha tishtiri kolon jdid la'anno tmazza' lamma kanat t'ayyish 'elet-ha.,biddha tishtiri kolon jdid la'anno tmazza' lamma kanat bt'ayyish 'elet-ha.
Palestinian,"I work at a big company, and every day I go to work by bus.",أنا بشتغل في شركة كبيرة، وكل يوم بروح ع الشغل بالباص.,أنا بشتغل بشركة كبيرة، وكل يوم بروح عالشغل بالباص.,"ana bashtighel fi sharike kbire, w kill yom barouh a sh-shughl bil-bas.","ana bashtighel b-sharike kbire, w kill yom barouh a-sh-shughl bil-bas."
Palestinian,"When the wind whistles at night, it scares the children and they start crying.",لما بتصفر الريح بالليل، بتخوف الأطفال وبصيروا يبكوا.,لما بتصفر الريح بالليل، بتخوف الأطفال وبصيروا يبكوا.,"Lamma bitsaffer er-riih bil-leil, bitkhawwif el-atfaal w-bisiiru yibku.","Lamma bitsaffer er-riih bil-leil, bitkhawwif el-atfaal w-bisiiru yibku."
Palestinian,"Grandma, I want to ask you an embarrassing question.",يا حاجة بدي اسألك سؤال محرج,ستي، بدي أسألك سؤال محرج.,ya hajje biddi as'alek su'al muhrij,"sitti, biddi as'alek su'al muhrij"
Palestinian,"From my perspective, education in particular is the way to self-improvement and societal development.",من وجهة نظري، التعليم بالذات هو الطريق لتحسين الذات وتطوير المجتمع.,من وجهة نظري، التعليم بالذات هو الطريق لتحسين الذات وتطوير المجتمع.,"min wijhet nazari, it-ta'leem bidh-daat huwwa it-tareeq la-tahseen idh-daat w tatweer il-mujtama'.","min wijhet nazari, it-ta'leem bidh-daat huwwa it-tareeq la-tahseen idh-daat w tatweer il-mujtama'."
Palestinian,Why do you always come back empty-handed from work? Is there nothing new?,ليش دايما بترجع تيتي تيتي من الشغل؟ ما في شي جديد؟,ليش دايمًا بترجع تيتي تيتي من الشغل؟ ما في إشي جديد؟,leesh dayman bterja' teeti teeti min ish-shoghol? ma fi shi jdeed?,leesh dayman bterja' teeti teeti min ish-shoghol? ma fi ishi jdeed?
Palestinian,"Butterflies are very light and move their wings quickly, making me marvel at the beauty of nature.",الفراشات بتكون خفيفة كتير وبتحرك جناحاتها بسرعة، بتخليني أتأمل في جمال الطبيعة.,الفراشات خفيفة كتير وبتحرك جناحاتها بسرعة، وبتخليني أتأمل بجمال الطبيعة.,"il-farashat bitkoon khafife kteer w-bitharrik jnahatha bisur'a, bitkhallini at'ammal fi jamal it-tabi'a.","il-farashat khafife kteer w-bitharrik jnahatha bisur'a, w-bitkhallini at'ammal b-jamal it-tabi'a."
Palestinian,Do you know that the contract we signed a year ago is still valid until now? We need to see if we want to renew it.,بتعرف إنه العقد إلي وقعناه قبل سنة لسا ساري لحد الآن؟ لازم نشوف إذا بدنا نجدده.,بتعرف إنه العقد اللي وقعناه قبل سنة لسا ساري لحد هلأ؟ لازم نشوف إذا بدنا نجدده.,Bti‘raf innu il-‘aqd illi waqqa‘nah qabl saneh lissa sari la-hadd il-an? Lazim nshuf iza bidna njaddduh.,Bti‘raf innu il-‘aqd illi waqqa‘nah qabl saneh lissa sari la-hadd halla? Lazim nshuf iza bidna njaddduh.
Palestinian,"The sun makes the sky look yellow at sunset, and this view makes me feel at ease.",الشمس بتخلي السما تبدو صفرا وقت الغروب، وهادا المنظر بخليني أشعر بالراحة.,الشمس بتخلي السما تبين صفرا وقت الغروب، وهاد المنظر بخليني أحس بالراحة.,"ish-shams bitkhalli is-sama tibdu safra waqt il-ghurub, w-hada il-manzar bikhallini ash‘ur bir-raha.","ish-shams bitkhalli is-sama tibayyen safra waqt il-ghurub, w-had il-manzar bikhallini ahiss bir-raha."
Palestinian,It's not always the person who looks stronger who wins; sometimes intelligence is stronger than physical strength.,مش دايما الشخص إلي بشكل أقوى هو إلي بيغلب، أحيانا الذكاء بيكون هقوى من القوة الجسمانية.,مش دايمًا الشخص اللي ببيّن أقوى هو اللي بغلب؛ أحيانًا الذكا أقوى من القوة الجسدية.,"mish dayman ish-shakhs illi bishakel aqwa huwwa illi bighleb, ahyanan iz-zaka biykoon haqwa min il-quwwa il-jismaniye.",mish dayman ish-shakhs illi bibayyen aqwa huwwa illi bighleb; ahyanan iz-zaka aqwa min il-quwwa il-jasadiyye.
Palestinian,"I can understand why people are afraid of the word 'cancer', but we need to remember that there are many success stories.",بقدر أفهم ليش الناس بخافوا من كلمة 'سرطان'، بس لازم نتذكر إنه في كتير قصص نجاح.,"بقدر أفهم ليش الناس بخافوا من كلمة ""سرطان""، بس لازم نتذكر إنه في كتير قصص نجاح.","ba'dar afham leesh in-naas bikhafu min kilmet 'saratan', bas lazim nitdhakkar innu fi kteer qisas najah.","ba'dar afham leesh in-naas bikhafu min kilmet ""saratan"", bas lazim nitdhakkar innu fi kteer qisas najah."
Palestinian,"I can stick the pictures on the wall with special glue, but I need to be careful not to ruin the paint.",بقدر أغري الصور على الحيط بغرا خاص، بس لازم أكون حذر عشان ما أخرب الدهان.,بقدر ألزق الصور عالحيط بغرا خاص، بس لازم أنتبه عشان ما أخرب الدهان.,"ba'dar agharri es-suwar 'ala el-heit bighara khas, bas lazem akoon hazer 'ashan ma akhareb ed-dihan.","ba'dar alza' es-suwar 'al-heit bighara khas, bas lazem antabeh 'ashan ma akhareb ed-dihan."
Palestinian,"We must remain cautious when using electrical appliances, especially if there are children in the house.",لازم نضل حذرين لما بنستعمل الأدوات الكهربائية، خاصة إذا كان في أطفال في البيت.,لازم نضل ديرين بالنا لما نستعمل الأجهزة الكهربائية، خصوصاً إذا في أطفال بالبيت.,"laazim ndal hazreen lamma binista'mel el-adawaat el-kahraba'iyye, khaasse iza kaan fi atfaal fil beet.","laazim ndal dayreen baalna lamma nista'mel el-ajhze el-kahraba'iyye, khusoosan iza fi atfaal bil beet."
Palestinian,I can scare away the pigeons with a special whistle so they fly off and scatter.,بقدر أفعط الحمام بصفير خاص عشان يطيروا ويتفرقوا.,بقدر أفعط الحمام بصفير خاص عشان يطيروا ويتفرقوا.,ba'dar af'at el-hamam b-safir khas 3ashan ytiru w-yitfarra'u.,ba'dar af'at el-hamam b-safir khas 3ashan ytiru w-yitfarra'u.
Palestinian,"I know that tea needs time to brew, but I'm really thirsty and can't wait.",بعرف إنه الشاي بده وقت تا يدبغ، بس أنا عطشان كتير وما بقدر أستنى.,بعرف إنه الشاي بده وقت تا يدبغ، بس أنا عطشان كتير وما بقدر أستنى.,"Ba‘raf innu ish-shay biddo wa’t ta yidbagh, bas ana ‘atshan ktir w ma ba’dar astanna.","Ba‘raf innu ish-shay biddo wa’t ta yidbagh, bas ana ‘atshan ktir w ma ba’dar astanna."
Palestinian,"When I asked him about the project, he started talking nonsense and I couldn't understand anything from him.",لما سألته عن المشروع، بلش يخبص بالحكي وما فهمت عليه شي.,لما سألته عن المشروع، بلّش يخبّص بالحكي وما فهمت عليه إشي.,"Lamma sa'altu 3an el-mashroo3, ballash ykhabbes bil-haki w ma fhemt 3aleih shi.","Lamma sa'altu 3an el-mashroo3, ballash ykhabbes bil-haki w ma fhemt 3aleih ishi."
Palestinian,"Registration for the conference is every day except Saturday, but you should come early so you don't have to wait long.",التسجيل للمؤتمر بكون كل يوم ما عدا يوم السبت، بس لازم تيجي بكير عشان ما تستنى كتير.,التسجيل للمؤتمر بكون كل يوم ما عدا السبت، بس لازم تيجي بكير عشان ما تستنى كتير.,"it-tasjeel lil-mu'tamar bikoon kul yom ma 3ada yom is-sabt, bas laazim teeji bakeer 3ashan ma tistanna kteer.","it-tasjeel lil-mu'tamar bikoon kul yom ma 3ada is-sabt, bas laazim teeji bakeer 3ashan ma tistanna kteer."
Palestinian,"I used to be shy to talk to the girl I love, but finally I got the courage and talked to her.",كنت باستحي أحكي مع البنت إلي بحبها، بس آخر شي تشجعت وحكيت معها.,كنت باستحي أحكي مع البنت اللي بحبها، بس بالآخر تشجعت وحكيت معها.,"kunt bastahi ahki ma' el-bint elli bhibha, bas akher shi tshajja't w haket ma'aha.","kunt bastahi ahki ma' el-bint elli bhibha, bas bil-akher tshajja't w haket ma'aha."
Palestinian,"There is a flower shop across from the hospital, and this is very convenient when I want to bring flowers to someone who is sick.",في محل بيع ورود قبال المستشفى، وهادا مريح كتير لما بدي أجيب وردات لحدا مريض.,في محل ورد قبال المستشفى، وهاد مريح كتير لما بدي أجيب ورد لحدا مريض.,"Fi mahal bay' wrood qibal el-mustashfa, w-hada mreeh kteer lamma biddi ajeeb wardat la-hada mareed.","Fi mahal ward qibal el-mustashfa, w-had mreeh kteer lamma biddi ajeeb ward la-hada mareed."
Palestinian,"I was happy, I took it, I found the watch.","فرحت اخدتها, لقيت هالساعة",فرحت، أخدتها، لقيت الساعة.,"ferehet akhadtha, la'eet hal-sa'a","ferehet, akhadtha, la'eet es-sa'a"
Palestinian,We need to consult a fertility specialist if we want to understand why we can't have children.,لازم نراجع أخصائي في الخصوبة إذا بدنا نفهم ليش ما عم نقدر نخلف.,لازم نراجع أخصائي خصوبة إذا بدنا نفهم ليش مش قادرين نخلف.,Lazem nraaje3 akhsa'i fil khusoobe iza bidna nifham leesh ma 3am ni'dar nikhlef.,Lazem nraaje3 akhsa'i khusoobe iza bidna nifham leesh mish adreen nikhlef.
Palestinian,"When the boy uttered an inappropriate word, his mother got angry at him and told him not to repeat it.",لما الولد لفظ كلمة مش مناسبة، إمه عصبت عليه وقالتله ما يعيدها.,لما الولد لفظ كلمة مش مناسبة، إمه عصبت عليه وقالتله ما يعيدها.,"Lamma el-walad lafaz kilmeh mish munasbeh, immo asabet aleih w galatlo ma y'eedha.","Lamma el-walad lafaz kilmeh mish munasbeh, immo asabet aleih w galatlo ma y'eedha."
Palestinian,You know? I'm against the idea that life always has to be easy. Difficulties make us stronger.,بتعرف؟ أنا ضد فكرة إنه الحياة لازم تكون سهلة دايما، الصعوبات بتخلينا أقوى.,بتعرف؟ أنا ضد فكرة إنه الحياة لازم تكون سهلة دايمًا. الصعوبات بتخلّينا أقوى.,"bta‘raf? ana did fikret innu el-hayah lazim tkun sahleh dayman, el-su‘ubat bitkhallina aqwa.",bta‘raf? ana did fikret innu el-hayah lazim tkun sahleh dayman. el-su‘ubat bitkhallina aqwa.
Palestinian,"Muhammad is the messenger of God, and we consider him a role model in our daily lives.",محمد رسول الله، وبنعتبرو قدوة لإلنا في حياتنا اليومية.,محمد رسول الله، وبنعتبره قدوة إلنا بحياتنا اليومية.,"Mohammad rasool Allah, w-bni'tibro qudweh ilna fi hayatna el-yawmiyyeh.","Mohammad rasool Allah, w-bni'tibro qudweh ilna b-hayatna el-yawmiyyeh."
Palestinian,I heard that his health condition got worse after he left the hospital.,سمعت إنه حالته الصحية صارت أعطل بعد ما طلع من المستشفى.,سمعت إنه حالته الصحية صارت أسوأ بعد ما طلع من المستشفى.,Sme3et enno 7alto el-se7iyye sarat a3tal ba3d ma tele3 men el-mustashfa.,Sme3et enno 7alto el-se7iyye sarat aswa ba3d ma tele3 men el-mustashfa.
Palestinian,"If you want to hear the new news, come to our house after dinner.",إذا بدك تسمع الخبر الجديد، تع على بيتنا بعد العشا.,إذا بدك تسمع الأخبار الجديدة، تعال عبيتنا بعد العشا.,"Iza biddak tisma' el-khabar el-jdid, ta'a 3ala betna ba'd el-3asha.","Iza biddak tisma' el-akhbar el-jdideh, ta'al 3a-betna ba'd el-3asha."
Palestinian,I wish everyone understood that the struggle against ignorance is the foundation of progress in any society.,يا ريت كل الناس بتفهم إنه الكفاح ضد الجهل هو أساس التقدم في أي مجتمع.,يا ريت كل الناس تفهم إنه الكفاح ضد الجهل هو أساس التقدّم بأي مجتمع.,ya reet kul el-nas bitfham innu el-kifah didd el-jahil huwwa asas el-taqaddum fi ay mujtama3.,ya reet kul el-nas tifham innu el-kifah didd el-jahil huwwa asas el-taqaddum b-ay mujtama3.
Palestinian,"I can travel anywhere in the world, but I can't find another homeland to replace my original one.",بقدر أسافر لأي مكان بالعالم، بس ما بقدر ألاقي وطن تاني يحل محل وطني الأصلي.,بقدر أسافر لأي مكان بالعالم، بس ما بقدر ألاقي وطن تاني يحل محل وطني الأصلي.,"Baqdar asafer la-ay makan bil-3alam, bas ma baqdar alaqi watan tani yihill mahal watani el-asli.","Baqdar asafer la-ay makan bil-3alam, bas ma baqdar alaqi watan tani yihill mahal watani el-asli."
Palestinian,The university wants to update its information system to make it easier for students.,الجامعة بدها تحدث نظام المعلومات تبعها عشان يصير أسهل للطلاب.,الجامعة بدها تحدّث نظام المعلومات تبعها عشان يصير أسهل للطلاب.,il-jam3a biddha thaddeth nizam il-ma3lumat taba3ha 3ashan yseer ashal la-tullab.,il-jam3a biddha thaddeth nizam il-ma3lumat taba3ha 3ashan yseer ashal la-tullab.
Palestinian,"My friend can't handle the pressure, he wants to resign from his job.",صاحبي مش قد الضغط، بده يستقيل من شغله.,صاحبي مش قد الضغط، بده يستقيل من شغله.,"Sa7bi mish add el-daghet, biddo yistaqil min shoghlo.","Sa7bi mish add el-daghet, biddo yistaqil min shoghlo."
Palestinian,"I asked the pharmacist about the best cream for dry skin, and he recommended a new product that isn't expensive.",سألت الصيدلي عن أحسن كريم للبشرة الجافة، وهو اقترح علي منتج جديد مش غالي.,سألت الصيدلاني عن أحسن كريم للبشرة الناشفة، ونصحني بمنتج جديد مش غالي.,"sa'alt el-saydali 3an a7san krem lal-bashara el-jafeh, w huwe iqtara7 3alay muntaj jdid mish ghali.","sa'alt el-saydalani 3an a7san krem lal-bashara el-nashfeh, w nasa7ni b-muntaj jdid mish ghali."
Palestinian,"When you see someone raise an eyebrow, it means they are surprised or don't believe it.",لما بتشوف واحد برفع حاجبه، هادا بيعني إنه مستغرب ولا مش مصدق.,لما بتشوف حدا رافع حاجبه، يعني هو مستغرب أو مش مصدّق.,"lamma btshouf wahed birfa3 hajbo, hada bi3ni enno mistaghrab wala mish msadde2.","lamma btshouf hada rafe3 hajbo, ya3ni howwe mistaghrab aw mish msadde2."
Palestinian,"I don't understand how you work without thinking like that, you need to concentrate a bit so you don't make mistakes.",أنا مش فاهم كيف بتشتغل بلا عقل هيك، لازم تركز شوي عشان ما توقع بأخطاء.,أنا مش فاهم كيف بتشتغل من غير ما تفكر هيك، لازم تركز شوي عشان ما تغلط.,"Ana mish fahem keef bteshtaghel bala 3aql heek, lazem terkaz shway 3ashan ma twaqa3 b akhta2.","Ana mish fahem keef bteshtaghel min gher ma tfakker heek, lazem terkaz shway 3ashan ma teghlat."
Palestinian,There was an open and honest discussion.,صار في نقاش صريح ‎,صار في نقاش مفتوح وصريح.,sar fi niqash sareeh,sar fi niqash maftooh w sareeh
Palestinian,"When the temperature is high, we have to set the air conditioner to a low level.",لما بتكون الحرارة عالية، بنضطر نحط المكيف على درجة منخفضة.,لما بتكون الحرارة عالية، بنضطر نحط المكيف على درجة منخفضة.,"Lamma bitkun il-harara 3alya, binDtar nhoT il-mukayyef 3ala daraje munkhafDa.","Lamma bitkun il-harara 3alya, binDtar nhoT il-mukayyef 3ala daraje munkhafDa."
Palestinian,"If I had the ability to go back in time, I would change a lot of decisions.",لون عندي القدرة إني أرجع بالزمن، كنت بغير كتير قرارات.,لو عندي القدرة أرجع بالزمن، كنت بغيّر كتير قرارات.,"Lawen 3indi el-2udra inni arja3 biz-zaman, kunt bghayyer ktir qararat.","Law 3indi el-2udra arja3 biz-zaman, kunt bghayyer ktir qararat."
Palestinian,"When I saw the rope hanging from the tree, the idea came to me to make a swing for the children.",لما شفت الحبل معلق من الشجرة، إجتني فكرة إنه نعمل أرجوحة للأولاد.,لما شفت الحبل معلّق من الشجرة، إجتني فكرة أعمل مرجيحة للولاد.,"lamma shuft el-habl m'allaq min ish-shajara, ijatni fikret innu na'mal arjuha lal-awlad.","lamma shuft el-habl m'allaq min ish-shajara, ijatni fikra a'mal marjiha lal-wlad."
Palestinian,Donkeys are very common in villages; they use them for transportation and work in agricultural fields.,الحمير بتلاقيها كتير في القرى، بستعملوها للنقل والشغل في الأراضي الزراعية.,الحمير منتشرة كتير بالقرى؛ بستعملوها للنقل والشغل بالحقول الزراعية.,"il-hamiir bitlaqiha ktiir fil-qura, bist3amluha lil-naql w ish-shughl fil-aradi iz-zira3iyye.",il-hamiir muntashra ktiir bil-qura; bist3amluha lin-naql w ish-shughl bil-huqul iz-zira3iyye.
Palestinian,"Yesterday in the lecture, the professor was angry because he saw a student asleep in class.",إمبارح بالمحاضرة، الأستاذ كان معصب لأنه شاف طالب غافي بالصف.,إمبارح بالمحاضرة، الأستاذ كان معصّب لأنه شاف طالب غافي بالصف.,"Imbareh bil-muhadara, el-ustaz kan m'assab la'anno shaf taleb ghafi bis-saff.","Imbareh bil-muhadara, el-ustaz kan m'assab la'anno shaf taleb ghafi bis-saff."
Palestinian,"The kids like to play in the caves, but we need to warn them of the danger.",الأولاد بحبو يلعبو في المغر، بس لازم نحذرهم من الخطر.,الأولاد بحبّوا يلعبوا في المغر، بس لازم نحذّرهم من الخطر.,"el-oolad bi7ibbo yil3abo fi el-mughar, bas laazem n7azzerhom min el-khatar.","el-oolad bi7ibbo yil3abo fi el-mughar, bas laazem n7azzerhom min el-khatar."
Palestinian,My mom's nickname is 'the compassionate lady' because she always takes care of us and helps us with everything.,لبق أمي 'الست الحنونة' لأنها دايما بتهتم فينا وبتساعدنا بكل إشي.,"لقب أمي ""الست الحنونة"" لأنها دايمًا بتهتم فينا وبتساعدنا بكل إشي.",Laqab immi 'is-sitt il-hanune' la'innha dayman bithtamm fina wbitsa'idna bkul ishi.,"Laqab immi ""is-sitt il-hanune"" la'innha dayman bithtamm fina wbitsa'idna bkul ishi."
