dialect,english,arabic gt,arabic predicted,arabic gt transliteration,arabic predicted transliteration
Egyptian,"This necklace is very beautiful, but I don't want to wear it because it bothers me around my neck.",القلادة دي حلوة أوي، بس مش عايز ألبسها عشان بتضايقني في عنقي.,السلسلة دي حلوة أوي، بس مش عايز ألبسها عشان بتضايقني حوالين رقبتي.,"el-2alada di helwa awi, bas mesh 3ayez albesha 3ashan betdaye2ni fi 3on2i.","el-silsila di helwa awi, bas mesh 3ayez albesha 3ashan betdaye2ni hawalein ra2abti."
Egyptian,Mom tells me that she wants to host my friend when she comes from abroad.,ماما بتقولي إنها عايزة تبيت صاحبتي لما تيجي من برة.,ماما بتقولي إنها عايزة تضيّف صاحبتي لما تيجي من برّه.,Mama bet2olli innaha 3ayza tebayyet sa7ebti lamma tigi men barra.,Mama bet2olli innaha 3ayza tedayyef sa7ebti lamma tigi men barra.
Egyptian,We want to find a reputable contractor to build us a new house in Cairo.,عايزين نلاءي مءاول محترم عشان يبني لنا بيت جديد في الءاهرة.,عايزين نلاقي مقاول محترم عشان يبني لنا بيت جديد في القاهرة.,3ayzeen nela2i me2awel mo7taram 3ashan yebni lena beet gedeed fi el2ahera.,3ayzeen nela2i mo2awel mo7taram 3ashan yebni lena beet gedeed fi el2ahera.
Syrian,"When we arrived at the hotel, we found that everything was packed and ready for us",لما وصلنا عالفندق، لقينا إنه كل شي كان مضبوب وجاهز إلنا,لما وصلنا عالفندق، لقينا إنو كل شي كان مضبوب وجاهز إلنا,"Lamma wisilna 3al-fund2, la2eena enno kel shi kan madboob w jahez elna","Lamma wisilna 3al-fund2, la2eena enno kel shi kan madboob w jahez elna"
Palestinian,"The doctor prescribed me a new medication for the pain, and I can say it is very effective.",الدكتور وصفلي دوا جديد للآلام، وبقدر أقول إنه فعال كتير.,الدكتور وصفلي دوا جديد للوجع، وبقدر أقول إنه فعّال كتير.,"ed-doktor wasafli dawa jdeed lil-aalam, w ba'dar agoul enno fa''al kteer.","ed-doktor wasafli dawa jdeed lil-waja', w ba'dar agoul enno fa''al kteer."
Syrian,"I put in a lot of effort to prepare the party, and I hope everyone enjoys it.",غلبت حالي كتير مشان أجهز الحفلة، وبتمنى إنو الكل ينبسط.,غلبت حالي كتير مشان جهز الحفلة، وبتمنى الكل ينبسط فيها.,"Ghalabet hali ktir mshan ajahhez el-hafle, w betmanna enno el-kell yenbeset.","Ghalabet hali ktir mshan jahhez el-hafle, w betmanna el-kell yenbeset fiya."
Syrian,"They are looking for a solution to the problem, but they haven't found anything yet.",عم يبحثوا عن حل للمشكلة، بس لسا ما لاقوا شي,عم يدوروا على حل للمشكلة، بس لسا ما لقوا شي,"3am yib7aso 3an 7all lal-mishkle, bas lissa ma la2o shi","3am ydawro 3ala 7all lal-mishkle, bas lissa ma la2o shi"
Jordanian,"I promised myself that as soon as I see you, I will get to know you.",وعدت حالي إني بس أشوفك، راح أتعرف عليك.,وعدت حالي إني أول ما أشوفك، راح أتعرف عليك.,"wa'adet hali inni bas ashufak, rah at'arraf 'alayk.","wa'adet hali inni awal ma ashufak, rah at'arraf 'alayk."
Levantine,And this is the price of not engaging in battles on time.,وهاي هي ضريبه عدم خوض المعارك في وقتها,وهاي هي ضريبة عدم خوض المعارك بوقتها.,w hay hi daribet 3adam khawd el-ma3arek fi wa2tha,w hay hi daribet 3adam khawd el-ma3arek b-wa2tha
Palestinian,I wish I hadn't taken the risk and put all my money into this project. Now I've lost everything and I don't know what to do.,يا ريت ما كنت جازفت وحطيت كل مصاري في هالمشروع. هلأ خسرت كل إشي وما بعرف شو أعمل.,يا ريتني ما جازفت وحطيت كل مصاريي بهالمشروع. هلأ خسرت كل إشي ومش عارف شو أعمل.,ya reet ma kunt jazafet w hattet kul masari fi hal-mashroo3. halla2 khsirt kul ishi w ma ba3raf shu a3mel.,ya reetni ma jazafet w hattet kul masariy bhal-mashroo3. halla2 khsirt kul ishi w mish 3aref shu a3mel.
Palestinian,"I wish we could appreciate the value of water that springs from the ground, because it is the source of life for us.",يا ريت نقدر قيمة المي إلي بتنبع من الأرض، لأنه مصدر الحياة إلنا.,يا ريت نقدر قيمة المي اللي بتنبع من الأرض، لأنها مصدر الحياة إلنا.,"ya reit nqadder qeemet el-mayy illi bitinba' min el-ard, la'anno masdar el-hayah ilna.","ya reit nqadder qeemet el-mayy illi bitinba' min el-ard, la'anha masdar el-hayah ilna."
Palestinian,"My maternal cousin works as an engineer in a big company, and my paternal cousin is studying medicine at the university.",بنت خالي بتشتغل مهندسة في شركة كبيرة، وبنت عمي بتدرس طب في الجامعة.,بنت خالي بتشتغل مهندسة في شركة كبيرة، وبنت عمي بتدرس طب في الجامعة.,"bint khali bteshtaghal mhandse fi sharike kbire, w bint ammi btedros teb fi el-jam'a.","bint khali bteshtaghal mhandse fi sharike kbire, w bint ammi btedros teb fi el-jam'a."
Syrian,I'm working part-time this period because of family circumstances.,عم بشتغل بنص دوام هالفترة لأنو عندي ظروف عيلة,عم بشتغل بنص دوام هالفترة لأنو عندي ظروف عيلة,3am beshteghel bnos dawaam hal-fatra la'anno 3andi zrouf 3ayle,3am beshteghel bnos dawaam hal-fatra la'anno 3andi zrouf 3ayle
Syrian,We heard that the foreign ministers of the major countries are meeting in Geneva to resolve the crisis.,سمعنا إنو وزراء خارجية الدول الكبيرة عم يجتمعوا بجنيف ليحلوا الأزمة.,سمعنا إنو وزراء خارجية الدول الكبيرة عم يجتمعوا بجنيف ليحلّوا الأزمة.,Sme3na enno wuzara kharjiyye ed-duwal el-kbire 3am yijtem3u b-Jneef la-y7ellu el-azme.,Sme3na enno wuzara kharjiyye ed-duwal el-kbire 3am yijtem3u b-Jneef la-y7ellu el-azme.
Jordanian,"Oh, about this day!",اخ على هذا اليوم,آخ على هاليوم!,akh 3ala hatha el-yom,aakh 3ala hal-yom
Syrian,"The company has a new secret project, and all the employees are wondering what it is.",الشركة عندا مشروع سري جديد، وكل الموظفين عم يتساءلوا شو هوي.,الشركة عندا مشروع سري جديد، وكل الموظفين عم يتساءلوا شو هو.,"esh-shirke 3inda mashru3 sirri jdid, w kell el-mwazzafin 3am yetsaa'alu shu huwe.","esh-shirke 3inda mashru3 sirri jdid, w kell el-mwazzafin 3am yetsaa'alu shu huwe."
Palestinian,We need to learn how to deal with pressures at work so we don't get mentally tired.,لازم نتعلم كيف نتعامل مع الضغوطات في الشغل، مشان ما نتعب نفسيا.,لازم نتعلم كيف نتعامل مع الضغوطات بالشغل، عشان ما نتعب نفسياً.,"Lazem net'allam keef net'amel ma' ed-dghutat fi esh-shughl, mishan ma net'ab nafsiyan.","Lazem net'allam keef net'amel ma' ed-dghutat bish-shughl, ashan ma net'ab nafsiyan."
Egyptian,"These awful neighbors make noise all night, we can't sleep.",الجيران السخام دول بيعملوا دوشة طول الليل، مش قادرين ننام.,الجيران السخام دول بيعملوا دوشة طول الليل، مش قادرين ننام.,"el-giran el-sekham dol bey3amlo dosha tool el-leil, mesh adreen nenam.","el-giran el-sekham dol bey3amlo dosha tool el-leil, mesh adreen nenam."
Lebanese,"Damn you, why didn't you tell me you were coming?",يلعن عرضك، ليش ما خبرتني إنو رايح تيجي؟,يلعن عرضك، ليش ما خبرتني إنك جايي؟,"yel'an 3ardak, leish ma khabartne eno rayeh tije?","yel'an 3ardak, leish ma khabartne enak jeye?"
Egyptian,"I don't know why the fridge isn't cooling the water well, we need to get a new one.",مش عارف ليه التلاجة مش بتسقع المية كويس، لازم نجيب واحدة جديدة.,مش عارف ليه التلاجة مش بتسقّع المية كويس، لازم نجيب واحدة جديدة.,"mesh 3aref leh el-tallaga mesh betsaqqa3 el-mayya kwayyes, lazem negeeb wa7da gedeeda.","mesh 3aref leh el-tallaga mesh betsaqqa3 el-mayya kwayyes, lazem negeeb wa7da gedeeda."
Syrian,"I forgot to date the check, and now the bank won't accept it.",نسيت أرخ الشيك، وهلأ البنك مو رح يقبله,نسيت أرخ الشيك، وهلأ البنك مو رح يقبله.,"nsit arrekh esh-shik, w halla el-bank mo rah yi'ablo","nsit arrekh esh-shik, w halla el-bank mo rah yi'ablo"
Syrian,His voice is hoarse and makes one feel like they're listening to something from an old cassette.,صوتو حرش وبيخلي الواحد يحس إنو عم يسمع شي من كاسيت قديم.,صوتو حرش وبيخلي الواحد يحس إنو عم يسمع شي من كاسيت قديم.,Sawto 7arsh w byikhalli l-wa7ed yi7ess enno 3am yisma3 shi men kaset 2adim.,Sawto 7arsh w byikhalli l-wa7ed yi7ess enno 3am yisma3 shi men kaset 2adim.
Palestinian,How much do you need to pay for rent each month? I can help you if you want.,قديش بدك تدفع على الإيجار كل شهر؟ أنا بقدر أساعدك إذا بدك.,قديش بدك تدفع إيجار كل شهر؟ بقدر أساعدك إذا بدك.,addeesh biddak tedfa' ala el-ijar kull shahar? ana ba'dar asa'dak iza biddak.,addeesh biddak tedfa' ijar kull shahar? ba'dar asa'dak iza biddak.
Syrian,Can you teach me how to shuffle the cards in a way that doesn't involve cheating?,فينك تعلمني كيف بتخلط الكرتات بطريقة ما فيها غش؟,فينك تعلمني كيف بخلط الكروت بطريقة ما فيها غش؟,feenak taallemni keef betkhlot el-kartat b-taree'a ma feeha ghesh?,feenak taallemni keef bakhlot el-kroot b-taree'a ma feeha ghesh?
Syrian,"I can't get close to this person at work, because they say we are related and that's not allowed.",ما فيني أقرب لهادا الشخص بالشغل، لأنو بيقولوا إنو منقرب بعضنا وهادا مو مسموح.,ما فيني قرّب من هالشخص بالشغل، لأنو بيقولوا إنو منقرب لبعض وهاد الشي مو مسموح.,"ma fini a'arrab la-hada shakhes b-ish-shoghol, la'anno bi'ulo enno mna'arrib ba'dna w hada mo masmuh.","ma fini arrab men hal-shakhes b-ish-shoghol, la'anno bi'ulo enno mna'arrib la-ba'd w had esh-shi mo masmuh."
Palestinian,"They escorted the bride on a white horse, and she looked like a princess.",زفوا العروس على ظهر حصان أبيض، وكانت شكلها زي الأميرة.,زفّوا العروس على حصان أبيض، وكانت طالعة زي الأميرة.,"zaffu el-3arus 3ala Dahr Hsan abyad, w kanat shakilha zay el-amira.","zaffu el-3arus 3ala Hsan abyad, w kanat tal3a zay el-amira."
Egyptian,These advertisements deceive people and make them buy things they don't need.,الإعلانات دي بتغر الناس وبتخليهم يشتروا حاجات مش محتاجينها.,الإعلانات دي بتخدع الناس وبتخليهم يشتروا حاجات مش محتاجينها.,el-e‘lanat di betghor el-nas w betkhallihom yeshtero hagat mesh mehtaginha.,el-e‘lanat di betkhda‘ el-nas w betkhallihom yeshtero hagat mesh mehtaginha.
Egyptian,"If I don't find a solution to this problem, I will go to the manager himself.",لو ملقتش حل للمشكلة دي، هلجأ للمدير بنفسه.,لو ملقتش حل للمشكلة دي، هلجأ للمدير بنفسه.,"law mala'tesh hall lel-moshkela di, halga' lel-modeer benafso.","law mala'tesh hall lel-moshkela di, halga' lel-modeer benafso."
Palestinian,"""I hurried... but she didn't bring me the apple.""",لقد تسارعت.. بس ما جابتلي التفاح,استعجلت... بس ما جابتلي التفاحة,laqad tasara3t.. bas ma jabatli it-tuffah,ista3jalt... bas ma jabatli it-tuffaha
Egyptian,"I don't want to interfere in anyone's life, this creation is not my responsibility.",مش عايز أتدخل ف حياة حد، الخلء ده مش مسؤوليتي.,مش عايز أتدخل في حياة حد، الخلق ده مش مسؤوليتي.,"mish 3ayez atdakhkhal f hayat hadd, el-khal' dah mish mas2ouliyeti.","mish 3ayez atdakhkhal fi hayat hadd, el-khal2 dah mish mas2ouliyeti."
Egyptian,"This apple is sour, but it's good for the diet because it has less sugar.",التفاحة دي مزة، بس هي كويسة للريجيم عشان فيها سكر أقل.,التفاحة دي مزة، بس كويسة للريجيم عشان فيها سكر أقل.,"el-toffaha di mezza, bas heyya kowayyisa lel-regim 3ashan fiha sokkar a2all.","el-toffaha di mezza, bas kowayyisa lel-regim 3ashan fiha sokkar a2all."
Palestinian,The new company is looking for employees who have consideration and the ability to deal with all types of customers.,الشركة الجديدة بدها موظفين عندهم مسايرة وقدرة على التعامل مع كل أنواع الزباين.,الشركة الجديدة بدها موظفين عندهم مسايرة وقدرة على التعامل مع كل أنواع الزباين.,ish-shirke il-jdide biddha muwazzafin 3andhom musayara w qudra 3ala it-ta3amul ma3 kull anwa3 iz-zabayin.,ish-shirke il-jdide biddha muwazzafin 3andhom musayara w qudra 3ala it-ta3amul ma3 kull anwa3 iz-zabayin.
Egyptian,"The new manager imposed himself on the company, and now everything goes the way he wants.",المدير الجديد لقح جتته على الشركة، ودلوقتي كل حاجة ماشية زي ما هو عايز.,المدير الجديد فرض نفسه على الشركة، ودلوقتي كل حاجة ماشية زي ما هو عايز.,"el modeer el gedeed la'aH getto 3ala el sharika, we delwa'ti kol haga mashya zay ma howa 3ayez.","el modeer el gedeed farad nafso 3ala el sharika, we delwa'ti kol haga mashya zay ma howa 3ayez."
Syrian,"Every time I see my girlfriend, my eyes flutter with joy and love.",كل ما بشوف حبيبتي، بترفرف عيوني من الفرحة والحب.,كل ما بشوف حبيبتي، بترفرف عيوني من الفرحة والحب.,"kel ma bshouf habibti, bterafraf 3youni men el farha w el hob.","kel ma bshouf habibti, bterafraf 3youni men el farha w el hob."
Palestinian,I can't sleep until I hear your voice on the phone.,ما بقدر أنام تنو أسمع صوتك عالتلفون.,ما بقدر أنام لحتى أسمع صوتك عالتلفون.,ma ba'dar anam tanno asma' sotak 3at-telefon.,ma ba'dar anam la-hatta asma' sotak 3at-telefon.
Palestinian,The obsession with material things can make a person forget the truly important things in life.,الكوشة على الدنيا ممكن تخلي الواحد ينسى الأمور المهمة في الحياة.,الهوس بالماديات ممكن يخلي الواحد ينسى الأشياء المهمة عنجد بالحياة.,il-koshe 3ala id-dinya mumkin tkhalli il-wahed yinsa il-umur il-muhimme fi il-hayah.,il-hawas bil-maddiyat mumkin ykhalli il-wahed yinsa il-ashya il-muhimme 3anjad bil-hayah.
Palestinian,"If the message doesn't arrive within an hour, stop wondering why it's taking so long and call them to see what's going on.",إذا ما وصلت الرسالة بعد ساعة، بطل تستعوق واتصل فيهم لتشوف شو صاير.,إذا ما وصلت الرسالة خلال ساعة، بطل تستنى وتفكر ليش مطولة واتصل فيهم تشوف شو صاير.,"Iza ma wislet ir-risale ba'd sa'a, battal tista'weq w-ittisel fihom la-tshuf shu sayer.","Iza ma wislet ir-risale khilal sa'a, battal tistanna w-tfakker lesh mtawle w-ittisel fihom tshuf shu sayer."
Palestinian,"You are still my closest friend, I swear I can't imagine my life without you.",بعدك صاحبي المقرب، والله ما بقدر أتخيل حياتي بدونك.,بعدك صاحبي المقرّب، والله ما بقدر أتخيّل حياتي بدونك.,"ba'dak sa7bi il-mqarrab, wallah ma ba'dar atkhayyal 7ayati bidoonak.","ba'dak sa7bi il-mqarrab, wallah ma ba'dar atkhayyal 7ayati bidoonak."
Egyptian,"Arabic music is full of maqams like Nahawand, and each one gives a different feeling.",الموسيقى العربية مليانة بمقامات زي نوا، وكل واحد فيهم بيدي إحساس مختلف.,المزيكا العربية مليانة مقامات زي النهاوند، وكل مقام بيدي إحساس مختلف.,"el-musiqa el-3arabeyya malyana b maqamat zay nawa, w koll wa7ed fihom biyeddi e7sas mokhtalef.","el-mazika el-3arabeyya malyana maqamat zay el-nahawand, w koll maqam biyeddi e7sas mokhtalef."
Egyptian,"When I was little, my grandfather always helped me perform ablution before we went to the mosque.",لما كنت صغير، جدي كان دايما بيوضيني قبل ما نروح الجامع.,لما كنت صغير، جدي كان دايمًا بيوضيني قبل ما نروح الجامع.,"Lamma kont soghayyar, geddi kan dayman biyawaddini abl ma nrouh el-game3.","Lamma kont soghayyar, geddi kan dayman biyawaddini abl ma nrouh el-game3."
Palestinian,My mom melted the chocolate to make my birthday cake.,إمي ذوبت الشوكولاتة عشان تعمل كعكة عيد ميلادي.,إمي ذوبت الشوكولاتة عشان تعمل كعكة عيد ميلادي.,Immi dhawwabat ish-shokolata 3ashan ti3mal ka3ket 3id miladi.,Immi dhawwabat ish-shokolata 3ashan ti3mal ka3ket 3id miladi.
Palestinian,"I wish we didn't have to announce anyone's death, but this is part of life and we have to accept it.",يا ريت ما بننعى على حدا، بس هادا جزء من الحياة ولازم نتقبله.,يا ريت ما نضطر ننعى حدا، بس هادا جزء من الحياة ولازم نتقبله.,"ya reet ma benin'a 3ala hada, bas hada juz' min el-hayah w lazem net'abbalo.","ya reet ma niddtar nin'a hada, bas hada juz' min el-hayah w lazem net'abbalo."
Palestinian,"My grandma kneads bread every day, and she says that kneading helps her release her energy.",ستي بتعجن الخبز كل يوم، وبتقول إنه العجين بيساعدها تفضي طاقتها.,ستي بتعجن الخبز كل يوم، وبتقول إنو العجن بيساعدها تفرّغ طاقتها.,"Sitti bti3jen il-khubz kul yom, wbit2ul innu il-3ajin bisa3idha tfaddi ta2itha.","Sitti bti3jen il-khubz kul yom, wbit2ul innu il-3ajen bisa3idha tfarreg ta2itha."
Palestinian,"Negative comments on social media greatly affect young people, we need to be careful about what we write.",التعليقات السلبية على مواقع التواصل الاجتماعي بتأثر كثير على الشباب، لازم ننتبه شو بنكتب.,التعليقات السلبية على مواقع التواصل الاجتماعي بتأثر كثير على الشباب، لازم ننتبه شو بنكتب.,"it-ta'liqat is-salbiyye 'ala mawaqi' it-tawasul il-ijtima'i bti'aththar ktir 'ala ish-shabab, lazim nintibih shu biniktob.","it-ta'liqat is-salbiyye 'ala mawaqi' it-tawasul il-ijtima'i bti'aththar ktir 'ala ish-shabab, lazim nintibih shu biniktob."
Palestinian,The eloquent poet has an amazing ability to use classical Arabic in a creative way.,الشاعرة الفصيحة إلها قدرة عجيبة على استخدام اللغة العربية الكلاسيكية بطريقة إبداعية.,الشاعرة الفصيحة إلها قدرة عجيبة تستخدم العربية الفصحى بطريقة إبداعية.,ish-sha3ra il-fasiha ilha 2udra 3ajibe 3ala istikhdam il-lugha il-3arabiyye il-klasikiyye b-tari2a ibda3iyye.,ish-sha3ra il-fasiha ilha 2udra 3ajibe tistakhdem il-3arabiyye il-fusha b-tari2a ibda3iyye.
Palestinian,Did you see the match yesterday? Our team won by three goals!,شفت المباراة إمبارح؟ منتخبنا فاز بثلاثة أهداف!,شفت المباراة إمبارح؟ فريقنا فاز بثلاثة أهداف!,Shuft el-mubara imbareh? Muntakhabna faz b-tlatet ahdaf!,Shuft el-mubara imbareh? Fariqna faz b-tlatet ahdaf!
Egyptian,"This man is completely lacking in morals, he talks to people in a very bad way.",الراجل ده مجرد من الأخلاق خالص، بيتكلم مع الناس بطريقة وحشة أوي.,الراجل ده معندوش أخلاق خالص، وبيتكلم مع الناس بطريقة وحشة أوي.,"el-ragel dah megarrad men el-akhlaq khalis, beyitkallem ma'a el-nas betari'a wehsha awi.","el-ragel dah ma'anduhush akhlaq khalis, w beyitkallem ma'a el-nas betari'a wehsha awi."
Palestinian,We can use myths as a fun way to teach children about values and ethics.,ممكن نستخدم الأساطير كطريقة ممتعة لتعليم الأطفال عن القيم والأخلاق.,ممكن نستخدم الأساطير كطريقة مسلية نعلّم فيها الأطفال عن القيم والأخلاق.,mumkin nistakhdem el-asatir ka-tariqa mumti'a l-ta'lim el-atfal 'an el-qiyam wel-akhlaq.,mumkin nistakhdem el-asatir ka-tariqa msalliye n'allim fiha el-atfal 'an el-qiyam wel-akhlaq.
Syrian,"This project requires a lot of work and perseverance, but I'm sure it will be successful.",هالمشروع بده شغل ومواظبة كتير، بس أنا متأكد إنه رح يكون ناجح.,هالمشروع بده شغل ومواظبة كتير، بس أنا متأكد إنه رح يكون ناجح.,"hal mashrou3 baddo sheghel w mwazabe ktir, bas ana met2akked enno ra7 ykoun naje7.","hal mashrou3 baddo sheghel w mwazabe ktir, bas ana met2akked enno ra7 ykoun naje7."
Palestinian,"The teachers' union has an important meeting tomorrow, and they will discuss a salary increase.",نقابة المعلمين عندها اجتماع مهم بكرا، ورح يناقشوا فيه زيادة الرواتب.,نقابة المعلمين عندها اجتماع مهم بكرا، ورح يناقشوا زيادة الرواتب.,"Naqabet el-mu'allimin 3andha ijtima3 muhim bukra, w raH yinaqshu fiih ziyadet er-rawateb.","Naqabet el-mu'allimin 3andha ijtima3 muhim bukra, w raH yinaqshu ziyadet er-rawateb."
Egyptian,Not everything falls under my authority; there are matters I need to consult with the manager about.,مش كل حاجة بتدخل في صلاحياتي، فيه أمور لازم أستشير فيها المدير.,مش كل حاجة بتدخل في صلاحياتي، فيه أمور لازم أستشير فيها المدير.,"mesh koll haga betedkhol fi salahiyati, fih omor lazim astashir fiha el-modeer.","mesh koll haga betedkhol fi salahiyati, fih omor lazim astashir fiha el-modeer."
Palestinian,Is it forbidden to raise the flag of the Palestinian Authority in the State of Israel?,ممنوع رفع علم السلطة الفلسطينية في دولة إسرائيل؟,ممنوع رفع علم السلطة الفلسطينية في دولة إسرائيل؟,mamnuu3 raf3 3alam is-sulta il-falastiniyye fi dawlet isra'il?,mamnuu3 raf3 3alam is-sulta il-falastiniyye fi dawlet isra'il?
Egyptian,"This pelvis is subjected to a lot of pressure during pregnancy, so a pregnant woman needs to be careful.",الحءة دي بتتعرض لضغوط كتير في الحمل، عشان كده لازم الست الحامل تاخد بالها.,الحوض ده بيتعرض لضغط كتير أثناء الحمل، عشان كده لازم الست الحامل تاخد بالها.,"el-ha'a di betet'arrad le dughoot kteer fi el-haml, 'ashan keda lazem el-sett el-hamel takhod balha.","el-hawd da beyeta'arrad le daght kteer asna' el-haml, 'ashan keda lazem el-sett el-hamel takhod balha."
Syrian,"Next week is my thirtieth birthday, and I can tell you that this stage is not easy.",الأسبوع الجاي رح يكون عيد ميلادي التلاتين، وفيني قللك إنو مو سهلة هالمرحلة,الأسبوع الجاي رح يكون عيد ميلادي التلاتين، وفيني قلّك إنو مو سهلة هالمرحلة.,"el-usbu' el-jaye rah ykun eid miladi el-tlatin, w fini ellak enno mu sahle hal-marhale","el-usbu' el-jaye rah ykun eid miladi el-tlatin, w fini ellak enno mu sahle hal-marhale"
Syrian,"The boy fell down the stairs and got many wounds, but they are all superficial.",الولد وقع عالدرج وصار عنده جروحة كتيرة، بس كلها سطحية.,الولد وقع عالدرج وصار عنده جروح كتيرة، بس كلها سطحية.,"el-walad we2e3 3a-d-daraj w sar 3ando jrou7a ktire, bas kella sat7iyye.","el-walad we2e3 3a-d-daraj w sar 3ando jrou7 ktire, bas kella sat7iyye."
Palestinian,"Some people laugh when they are tense, and this is a natural response to deal with pressure.",بعض الناس بيضحكوا عند التوتر، وهادا رد فعل طبيعي للتعامل مع الضغط.,بعض الناس بيضحكوا لما يكونوا متوترين، وهاد رد فعل طبيعي للتعامل مع الضغط.,"Ba‘d en-nas biyidhaku ‘ind et-tawattor, w hada radd fi‘l tabi‘i lit-ta‘amul ma‘ ed-daght.","Ba‘d en-nas biyidhaku lamma ykunu mitwattrin, w had radd fi‘l tabi‘i lit-ta‘amul ma‘ ed-daght."
Egyptian,We want to identify the problems in the company before they become a big issue.,عايزين نلاقي مواطن الخلل في الشركة قبل ما تبقى مشكلة كبيرة.,عايزين نحدد المشاكل في الشركة قبل ما تبقى مشكلة كبيرة.,3ayzin nela2i mawaten el-khalal fi el-sherka abl ma teb2a moshkela kebira.,3ayzin ne7added el-mashakel fi el-sherka abl ma teb2a moshkela kebira.
Palestinian,My mom always says that gossip is one of the worst habits a person can adopt.,أمي دايما بتقول إنه النميمة هي من أسوأ العادات إلي ممكن الواحد يكتسبها.,أمي دايمًا بتقول إنو النميمة من أسوأ العادات اللي ممكن الواحد يكتسبها.,immi dayman bit'ool innu in-nameeme hiye min aswa' il-'aadat illi mumkin il-waahid yiktisibha.,immi dayman bit'ool innu in-nameeme min aswa' il-'aadat illi mumkin il-waahid yiktisibha.
Levantine,"We need materials, there aren't any.",بدّنا موادّ ما فيش,بدنا مواد، ما في شي.,biddna mawaad ma fiish,"biddna mawaad, ma fii shi."
